Data	Happiness	Sadness	Anger	Fear	Disgust	Surprise
Lekin fir bhi #SamratModi Mahan hain. Unhone #Notebandi se desh ki janta ka dil aur elections jeete hain https://twitter.com/RanaAyyub/status/847473515620061184 …	Hindi					
almost sabhi #MPs ko malum tha ki #NoteBandi hogi lekin #public ko pta nhi tha to kaise kahe hum aazad hai?			Hindi			
#NOTEBANDI AAJ SAB DALIT SAMAJDAR HAIN BAHUTLOG KO UMMED THEE BAHINJI ISS CRUSIAL STAGE ME GAREEBON KO,KUCH PAISA BANT DENGI PER NAHI BANTA @radhacharandas #notebandi		Hindi				
@narendramodi Tera hardwork dekh kar Harvard wale bhi sharma gaye kis ulloo ne kaha tha #notebandi karne ko,RBI ki saakh mitti mein mila di pic.twitter.com/1942OBiva8					Hindi	
#NoteBandi ke 9th month mein Vikas kisi samay bhi ho sakta hai. @jalajboy @rsaraf007https://twitter.com/vkgdrawnear/status/885743989168644096 …	Hindi					
Reality Ye Hai...#NoteBandi Fail Ho Gayi Hai 13 Lakh Carore ki jagah 17 Lakh Carore Aa Gaye Hai http://fb.me/Hw97K66e  #sushilvaswani #notebandi		Mixed				
#NoteBandi aur #GST jaise desition lena matlb khud khushi hai... Aisa desh ke liye koi aur to nhi kar sakta Or jis trh se #Notebandi  humara diwala nikalne k baad flop hua tha... thk usi #GST v humara diwala nikaal k flop ho jayega....		Hindi				
bas #Notebandi aur #GST ke name pr corporate& Vip k Bhala krne ke liye h bas  #TripleTalaqhttps://twitter.com/AnupamPkher/status/899908200379670528 …					Mixed	
@abhisar_sharma #Notebandi ki wajah se Srijan scam ujagar hua , paisa janha Ka tanha fas gya thA, ye tamacha nahi to or kya hai..						Hindi
#notebandi is a biggest scam. 13 dec. tak 12.14 lakh cro vapak aa gaya thai. @awasthis @AMISHDEVGAN @sardanarohit  Uske Baad aap bole #notebandi se something kucch hajarcaror rupye banko mein jama huye to fir vo aap ne kis kam mein lagaye @narendramodi			English			
Mitronnnnnnn.. y word use na kara .... kuch #notebandi wali feeling aati hai !				Mixed		
Note phenk k koyi bhi Election Jeet Sakta hain.. But...  #Notebandi Karke Ek hi Insaan Election Jeet Sakta hai.. Woh hai #NarendraModi ji #GujaratVerdict #thoughtoftheday #GujaratElection2017 #HimachalVerdict #GujaratResults	Mixed					
#Notebandi me line me log mare atm ki aur bank ki. Ab iske hone se ghar ghar mout naachegi suiside se. #Harharmodighargharmodi. Ab bhuktto.https://twitter.com/AAPDelhi/status/938342714462027776 …		Hindi				
Tumko aur @OfficeOfRG ko ek hi jhatake #NoteBandi me bhikhmanga bana diya.Ab tumhare jaise #BlackMoneyHolder jindagi bhar bheekh mangega.				Hindi		
#NoteBandi ka zakhm bhara nahi ki ye GST ka ghaav de gaye,pehle se hi berozgari ki maar,mahila suraksha nahi,crime ratio badgaya Hain, ye hai #Modi ji ke acche din #ArvindKejriwal #RahulGandhi #aajtak #ABP #NDTV #RavishKumar #HardikPatel			Mixed			
#NoteBandi mein Temporary Ban to lag Chuka hai.Koi baat nahin hai ! https://twitter.com/ShilpiSinghINC/status/938561721316163584 …						Mixed
1 aur failure! #notebandi main bar-2 niyam badla, now #GST! kam karna sai pehla budhiman sochta h, aur kam karna ka bad murakh sochta h					Both	
#ArunShorry Ji aakhir itne dino baad apko yaad aa rha hai ki #Notebandi galat faisla tha. Itne dino tak kisne kidnep kiya hua tha?			Mixed			
aap jaise paid media jinka political agenda hai, ki asaliyat pata chal gayi bas yahi fayda Hua #NoteBandi se	Hindi					
Ye tir kahi #Ravan ko miss kar ke kisi #aamadmi ko naa lag jaye , samhhal ke mariyega sir.#Notebandi and #Gst ki tarah misfire na ho jaye.https://twitter.com/narendramodi/status/914138490316529664 …			Hindi			
Bjp ke up me jeet #notebandi aur #GTS ke baad yahi proove karte hai ki long sab paresani ke baad bhi bjp kee sath hai vikas kee sath haai aur isse bhi aacha result gujrat me milega..picture abhi baki hai mere dost..	Mixed					
@narendramodi #narendramodi ji ab janta bevakoof nai banne vali, ye jo ap dikhane ki kosis kar rahe k ap garibon k sath h qki ap b kabhi garib parivar se the, to bhul jaiye qki janta #notebandi aur #GST k thappad kha k samajh gai k @BJP4India garib k sath h ya businessmen k sath			Mixed			
Aisa na ho Modi Sarkaar 8 Nov ki #notebandi tarah 8 Dec ko Sanjay Leela Bhansali #Padmavati #Film Par ban laga de?				Mixed		
#BJPevmFraud krke #Voter ka #Vote apna bana lete hy phir satta me aakar desh me #MobLynching jesi aatankwadi harkat karate hy #NoteBandi krke desh ka sara maal apne #JayShah jese pillo ko de dete hy #GST laga kr pure desh ko lut te hy #Shame			Hindi			
Bharat ke 2016 ke Demonetization mein kitna kala dhan real mein aaya??? Accha hua ye prashna Miss Word Chillar ko nahi puccha gaya. #misschillar #missworld #Demonetisation #notebandi #modi #bjp #gujrat	Mixed					
#NoteBandi ke ek saal baad, Indian currency ki value itni badh gayi ki #chillar bhi jeet gaye	Mixed					
Sir #GST aur #Notebandi ke August aur Ab ke results me to bahut difference hain Gujaraat me poll ke anusaar Iska filhal ki sarkaar par to Negative effect hi hota dikh rha		Mixed				
Jitni taklif garib Ko Hui #notebandi aur #GST se shayad hi kisi Ko Hui.... Footbath par sone Wale majdoor bhukhe soye.. #bhakto Ko nahi dikhaega		Hindi				
Sir bjp valo ki to baat hi alag Hai ek minute  me desh ko lute kar garib kar dete Hai #notebandi					Hindi	
Pehle goli maro, phir socho: Modiji ki ye policy desh ki economy ko barbad kar rahi hai. Pehle Tuglaqi #NoteBandi phir #GabbarSinghTax			Mixed			
Bhool jao #Notebandi , bhool jao #GST  aur Bhool jao Badhali kyoki aaaj hain Diwali ..Wish u all happy diwali ..https://twitter.com/BeingSalmanKhan/status/921007531765444608 …	English					
This #Diwali celebrate with #Notebandi phus phus Anar & #GST kaala saanp pic.twitter.com/gGB1r523Wu	Mixed					
Jo apne vote bnk ki cinta kiye bina #notebandi n #Gst jese kade kdm utha skta h vo kuch bhi kr sakta h	Hindi					
Inka kaam hi hai, inhe paise hi is kaam ke milte hai.. #notebandi inhi jaise gaddaro ko benakab karta.Treat for nation. #Rohingyashttps://twitter.com/rishibagree/status/919232878617157632 …	English		Hindi			
#Notebandi se 15 Din pehle company band ? Kya mazra h bhai ? Kiske paise safed kiye @AmitShah k launde ne ? #notebandi #RichardThaler						Mixed
tumhe islam aur hindu hi dikhai deta hai kya, #EVM aur #Notebandi ghotala dikhao			Mixed			
#SurgicalStrick k sbut nh dye to Army se bhrosa uth gya #NoteBandi kye to Gvt.Se..#Election hare to EVM se..Aise log Duniya se q nh uth jate			Mixed			
Kumbh karan ki abb nind khuli, aa gaye bhi jhut ki vakalat karne #Notebandi per kiya lollipop chuss rahe the Anna? Ya abhi contract mila https://twitter.com/aajtak/status/841998800738738180 …					Mixed	
Masterstroke to Modiji ne usi din maar diya tha jab #notebandi ki thi. pic.twitter.com/PSrO6JDVfh	Mixed					
you are in shock....hawaiyan udd gyi....#notebandi chal gya .janta Ka thapad pad gya ...aap ab chaplusi par na Utar jaiyega			Hindi			English
@MamataOfficial @sardanarohit Woh Jo #NoteBandi k agst #AamaranAnshan karne waale the uska kya hua... Mare nahin ab tak		Hindi				
#NoteBandi ke baad BJP sare Elections jit rahi hai,fir v opposition ko samajh me nahi aa raha hai ki public Modi ji ke Saath hai. #UPPolls	Mixed					
after #Notebandi #Maharastra #Odhisa ke logon ko mil gaye hain 15L. 11 march ko apko bhi mil jayega!!and Get well soon!!	English					
#notebandi se Janta kitni pareshan hai ki #DeMonetisation  ke baad har election me @BJP4India ka jalwa badhta ja raha hai.	Hindi	Hindi				
Beshak #notebandi se corruption puri Tarah nhi jayega LEKIN Ye phla or bhut bada kadam h corruption ko rokne ke liye	Mixed					
#BMCelection vyapariyo se ek appeal #notebandi ka jawab abhi nahi to kabhi nahi. Vote for congress vote for progress @sanjaynirupam	English		Hindi			
@OfficeOfRG @yadavakhilesh Iseeliye humne #notebandi ka virodh kiya tha. Gareeb nirdosh longonko arrest karte hain https://twitter.com/manakgupta/status/833667923331817477 …	`	Hindi				
#UttarPradesh Ko Aisa Beta nahee chahiyeh jo Apni 90 Saal ki Maa ko #NoteBandi Ki line mein khada kar diya #ModiGovt1000Days #UPElection2017pic.twitter.com/z1quu7H9e3					Hindi	
@Pappu @Maya @Kejri ko #Notebandi ki pareshani NAHI Hoti. Kaise? Fake currency, curroption ka ilaj ek teeke se hota #AgarModiJiDoctorHote						Hindi
yehi hi nahi #notebandi ki maar khud @PMOIndia @narendramodi par bhi pado hai 1.5 mnth se videsh nahi gaye hai #StatePolls		Hindi				
YE #Notebandi se aam Kisan & Public ko line me laga k tabah kiya! Ab #IncomeTaxwale nirdosh logo ko BHI notice bhej k tang kar RAHE???		Mixed				
Pahle Modi Ki #NoteBandi Ne Beda Garq Kiya, Aaj Modi/Jaitly Ke #Budget2017 Ne. Rahul @OfficeOfRG Baba Barse Na To Kya Kare? :(		Mixed				
A small farmer in Mahoba, #UttarPradesh: matar 6 rs kilo bech raha hun #notebandi ke kaaran! Ab chunaav me batayenge inko.			Hindi			
ye to pura #desh jaanta hai ki #scam karna kiska #dharm h.			Mixed			
Sabse bada scam #notebandi Isse bada b koi scam ho sakta h!						Mixed
@kamaalrkhan Shahrukh Khan ke promotion ki wajah s ek insan ki mout hogyi.#Notebandi  s to 150 log jaan gwa chuke uska zimmedar Kon...??????			Hindi			
#Notebandi  fail hai bhai hume laga hi tha ki garibo ka fayeda hoga kuch na hua vo to bas up election me fayeda uthana tha inhe					Mixed	
Bahut kam Log Jante hain ki, #Notebandi Modi ji k liye, Blue Whale Game ka Pehla Task tha.						Mixed
Main Bhi whole level pe bol raha hoon,  kiske life ne Kya kami as gayi hai #NoteBandi ke baad. Tu padha likhna hai na gyani.			Mixed			
Are koi to batao ab kya hoa #NoteBandi se mujhe lagta hai #UPElection2017 me#AkhileshYadav ko vote kre wahi he up ko sunder bna sakte hai	Hindi					
#notebandi se paiso ki value badi hai aur log jo hai simit rup se dhire dhire expensive karna sik rhe hai	Mixed					
@narendramodi bank employees vyapariyon se bilkul achha behave nahi kar rahe hai...#pls kuch kijiye sir.... #notebandi ki takleef hone lagi		Mixed				
#Notebandi se 50 dino main corruption wese he khatam hua hain, jese fair & lovely se 30 dino main ladkiya Gori Ho Jaati Hai			Mixed			
#Notebandi se khatra @narendramodi ko ho raha hai aur Z+ suraksha #BabaRamdev #AmarSingh ko, conection kya hai?						Mixed
"agar aaj jatley se ye pucho ki #notebandi ka kya fayda hua to bhi inka same answer hoga ""mujhe nhi pata"""						Mixed
@narendramodi ji woh #SuryaDeva hai jinki vision & leadership ki roshni se #KrantikariIndia ban raha hai & #NoteBandi of corrupt politicians	Mixed					
Abe #NoteBandi Modi ji ne Apne lie to krri nhi h Ek din me sab change kr dega kya tu..?			Mixed			
kal market gaya aur mall ,itnee bheed thee , #Notebandi ka koi asar nahi tha ,khoob free spending ho rahi  thee						Mixed
#Notebandi kasam se desh ka vikas karne ko hi hui thi. Ab fail ho gayi to #Modi ji ka kya kasoor.		Mixed				
Hahaha!!!#SarvaGyani #PMji ko ye practical difficulty pehle se pata nahi thi???Jo raimashwira karke kaam nahi karta uske sath aisa hi hota hai!#Notebandi me yehi hua tha & #GST me bhi but sabak shayad hi liya hoga???	Mixed					
Agar #NoteBandi se kala paisa safed hua toh appko aur apke party walon ko toh koi problem nahin hona chayee because iska sabse bada fayda toh aaplogon ko hua hoga fir @OfficeOfRG aur @INCIndia ka kala dhan safed ho gaya all thanks to @narendramodi #Gujratelections2017	Mixed					
#Bhakt chacha, saare black money to swiss bank mein the, switzerland mein kab ho raha hain #notebandi  ? Deshvasi har kaam chhod ke ab sirf dono cheezon ka wait kar rahe hain. 1) Har ek ke account mein 15 lakh aur 2) Ayodha mein RamMandir. Kab denge aap ke #bhagwan ?		Mixed				
sir agar mai #LOGON me aata hu to mai yahi kahunga ki .....i support #Notebandi bcoz chor log to zinda mar hi gayae....or 125 crore ke population ke liyae aisa koi rule nahi ho sakta jisme sab lo khush rahe...kisi ko to dikkt hogi hi..bt aapko kyun hui???	Mixed					
Bhai Demonisation ko Saal hogaye hai..ab toh chod do..this are the people jo har post ko @narendramodi #NoteBandi aur Desh ki Sena se jod dete hai.. grow up man..have a life for Gods sake ..@PiyushGoyalOffc					Both	
Kya #duplicate note aur #blackmoney sirf 500 aur 1000 ke note mein hi aate the? What about 100 ka note???			Mixed			
@narendramodi_in. Notebandi  se mera koi fyada na hua ho par khushi ish baat ki kuch corrupt logo ka bohut ghaata hua #Notebandi	Hindi					
2016 Nov 8 ne 1000 500 ke notes band kar diye. 2017 Nov 8 ne saansein band kar di. #Notebandi #DelhiSmog		Hindi				
abhi thoda time pehle pappu ne kaha tha ki Mr Modi sirf udyogpatio ke liye hai ab kaha ki Modi ji ne udyogpatio ko barbaad kar diya hai #notebandi karke..bhai apni khud ki hi statement agli statement se galat sabit karke apna majak banate ho					Mixed	Hindi
#notebandi anivary Modi jee hum naraj ho sakte hai lekin gaddar nahi not bandi ko 1 year hua, badhai ho	Hindi					
Modi ne #Notebandi toh kar di, par hamaare jaise #foreveralone engineers ke liye bandi kab dhund dega. Kya yahi hai acche din?		Mixed				
Lagta hai @AamAadmiParty K treasury khali hogaya #Notebandi se, Iss liye tho Raghu Ramrajan ko amantrana diya https://twitter.com/EconomicTimes/status/928219191957643264 …		Hindi				
#Notebandi haay tauba machane wale wahi h jinki kaali kamai doob gyi sirf aur sirf wahi log black day mana rahe h. Baki hum to anti blackmoney day manayenge.	Mixed					
Garib kal bhi Carib the,  aj bhi garib hai.. #notebandi sirf corruption k khilaf thi,  jo bhut hadd tak control me aa gayi hai..	Hindi					
"Whenever I hear ""Mitro #Notebandi se desh ko kitna fayda hua, bhrastachar khatm ho gaya, black money ka bilkul safaya ho gaya, poora desh digital transaction karne laga, is se kisi ko koi pareshani nahi hui"". Inner Me : pic.twitter.com/Rxuqztu9De"						Mixed
Aj wahi Din hai jise hum bhul nahi sakte jab kala bajariyon ki nind ud gayee thi.  We r thankful  to our PM for  #Notebandi	English			Hindi		
#Notebandi Maa ne jitne paise papa ki jeb katke bachaye, use bank me jama karana pada.  Ab interest bhi mil raha hai..I support note ban	Both					
#Notebandi IT walo ka kaam asan kar diya.. jis ki asar saudi arab mein bhi dikhai de raha hai corruption  ke khilaf.	Hindi					
Seems @ashoswai has lost his mental balance after #Notebandi. Bechara Bikhari hone ke baad, bus Modi ko Gaali deta rehta hain jab dekho. https://twitter.com/ashoswai/status/927509396912947201 …		English		Hindi		
Kya #NoteBandi k jashn me unn logon k pariwar valo ko bulaya jaega jinke relatives ki #Banks ki line me lag k death hui?		Mixed				
Dono house mei kya congress ki majority hai unke oppose karne se bill #GST ka ruk jaata #Notebandi karne se pehle bill pass karaya tha kya		Mixed				
AAJ saam 8 bje news zarur dekhe,,,pTA nai ky announcement ho jaae #NOTEBANDI				Mixed		
#Notebandi kis ke liye kiya tha. aaj tak khud ko convince nahi kar payi he BJP..desh ko jhoot batane ke siwa orr kya kar sakti he..tv pe ad de raha he jaise koi pahad tod diya ho..par bata nahi pate kitna kala dhan recover hua...orr #DeMo ke faide gina rahi he .jo hua hi nahi he			Mixed			
Wo triple talaq wali mahilaye kahin dikhe to mera salaam bolna U.P chunaav ke baad dikhe nahi	Hindi					
Bhai hme Congress ko vote dekar Kasmir Pakistan ko nhi deni hai,  Muslim virodhi hote to  #TripleTalaq pe ban nhi hota, samjhe				Mixed		
Bade afsos ki baat h jis desh m nari #DURGA aur #LAXMI  ka roop mani jati ho wha #TripleTalaq aur #BaalVivah jaise issue h Happy Women's Daypic.twitter.com/Pxlj2djZS2		Hindi				
My question to @republic Arnab Jo apni Maa, Bahan n Beti ko #TripleTalaq se Mukt nahi kiye woh Vande Mataram Gayenge ?					Hindi	
Kaltak SC ka #TripleTalaq opionion pe liberals banehue #BhaktGang, aaj SC ki Hinduism ke upar opinion se bhokalagaye poora #JaagoBhaktoJaago https://twitter.com/Babu_Bhaiyaa/status/815811787316527104 …						Mixed
O behenji...aap muslim women ke haq ki awaaz kyun nahi uthati #halala #TripleTalaq #Polygamy		Mixed				
Thoda #TripleTalaq aur Burkha pe bhi bol do mahashay. Wahan kya aap ko selective amnesia ho jata hai?			Mixed			
Intolerance is only 4 standing against  leftists.Triple talaq toh khuda ki rahmat hai, bas dahej ya sati-pratha is dhong hai.					Both	
muslims ka womens ko lekar dohra charitr fir saamne aaya ab @shaziailmi ko #TripleTalaq par bolne se roka gaya					Hindi	
#FreedomOfSpeech  wale sickulars ab kaha hai jab @shaziailmi ko #tripletalaq jaise important issue ko discuss Karne ki freedom NHI hai..			Mixed			
Sahi cheej par debate ki jaroorat hai #tripletalaq koi NHI karega na Karne Dega but desh k tukde k bare me savko #FreedomOfSpeech  chahiye..			Both			
shariyat nahi chalne wala ab....#TripleTalaq ban hoga aur uniform civil code ayega...wait n watch...			Both			
So sad #NarendraModi g kaha ho beheno ki hifazat ka new rasta banao Hindu samaz me #TripleTalaq lago karo jai hind		Both				
Where is the team of #TripleTalaq? #Modi ji Behne yaad hai? Sack this culprit @PremShuklaBJP ya Aurto par diya hua bhaashan bhi Jumla hi thahttps://twitter.com/priyankac19/status/910574223059324928 …			English			
"Whatsapp pe #TripleTalaq ho saqta hai to  Kuch v ho sakta hai! Kya ek larki ka ""jindegi"" se ""suspension"" bara ho gaya"						Mixed
Umar ho gayi hai. Shayad bhool gaye ho. 2 months back riots killed people in Bashirhat. Tab Kahan thay Aap? #TripleTalaq bachaa rahey thay?			Both			
@narendramodi sir, jaise #TripleTalaq women k agnst tha, wse hi Sec 377 (IPC) v kisi samuday k khilaf hai. Ab sari umiden aap se hi h #LGBT		Mixed				
#TripleTalaq  talak se outgoing bandh kar diya ab #ClericsForChildMarriage se incoming bandh kar diya. Islam khatre mein he				Hindi		
Sunne mai aaya hai k #TripleTalaq k baad kuch ladke court jakr Qubool hai replace krke #bolozubaankesri ki maang ki hai... #vimaaltroll	Mixed					
Woman given 3talaq for not bearing male child @asaadowaisi ji kabhi iske liye aawaz utha liya karo #TripleTalaq		English				
Agar kisi ka Hasben jahil ho to #TripleTalaq dekar kam se kam os larki ki jaan to bach jati hai  Or Hindu to talaq nahi killing karte hain		Mixed				
sadak par lana galat hy lekin #TripleTalaq ka hal islamic cort banakr nikala jae warna desh tutega				Hindi		
#TripleTalaq kisi ke murder se to acha hy  Lekin pehle murde ko jalane pr ban lage			Mixed			
rape pideeton ke sath sath thodi chinta triple talaq pideet mahilao ka bhi kariye madam?? #TripleTalaq					Hindi	
Jahan tak mujhe yaad hai inhe #jufge saheb ne #TripleTalaq ke favour mein verdict diya tha kya wo desh hit mein tha. #TripleTalaq			Mixed			
#TripleTalaq Pe ban Bahot jaruri he Aaj ke zamaane me... Galat Fayda utha rahe he Aaj kal ke log iska...					Hindi	
@vsknagpur fact hai sir ji UP me #TripleTalaq ek bada issue tha  Muslim mahilaon ne Modi ji ko bharpoor Vote diye hain #ElectionResults #Secular #TripleTalaq #MuslimWomen	Mixed					
Khud ki bhi koi responsibility samjho Modi ji bas bhasan se kaam kab tak chaloge #LoveJihad #unemployment #TripleTalaq #poverty #pharmacist #medical in  #loss in #business Ki samasyao ko bhi sudhariye. Aur ye kaam sirf aap hi karwa sakte hai.		Mixed				
Just one thing: #TripleTalaq  ho ya #RamMandir #congress and #KapilSibal  hamesha andho k hi paksh me dalil dete h like #JNU rahul gandhi #kanahiya k sath tha			Hindi			
Small village ka bhi news dikhao kabi #TripleTalaq Kabi #Kashmiri #Up #Yogi in se bhi bahar niklo Sir Ji @aajtak @sardesairajdeep			Mixed			
#TripleTalaq ke issue me inko #MuslimWomenEmpowerment ki fikr hai but inki safety ka koi arrangement nhi.			Mixed			
#TripleTalaq iss rasm ka najayaj use ho raha hai. Mazak bana rakha hai 3 talaq ko. Bored? Talaq de do nayi lai aao. Tbhi dakhl nahi chahte.			Hindi			
#TripleTalaq wah galti husband kare aur saza bhugte aurat. Uski marzi koi jan na hi nah8 chahta. Saza pati ko milni chahiye.		Mixed				
Jo community janwr ko bachake insano ko mar rhi h, wo #TripleTalaq p muslim aurto ko haq dilane ki baat kr rhi h .. Strange!!						Mixed
@narendramodi kua sirf #TripleTalaq par bolna hai??  Itne bade unrest hai kashmir mein ek shabd nai nikal raha hai,  kya baat hai??						Mixed
Jinki aurto ko sbse zyada divorce milte ho desh m wo log #TripleTalaq p chilla rahe h..					Mixed	
ji #TripleTalaq #triple ke baat tum ne bahot ke.  jo hindu widows  phir se shaadi karna chahate hai uske liya kuch bolo			Mixed			
#TripleTalaq smriti irani Pehle degree ka kya hai wo clear kare baadme doosro ko stands clear karne ko kahe @TarekFatah @sardanarohit #TripleTalaq			Mixed			
Apne desh mei content ki bhi barsaat ho rahi hai #tripletalaq #righttoprivacy #rapistbaba #china #MumbaiRains	Mixed					
Shut up you Jihadi Sanghan. Abdul itna gussa kyu hain bhai, #TripleTalaq ban hua hai is liye ?			Both			
Muslim Behenon kon Justice milne par khush ho rahe the Bhakts,Hindu behen ko Justice mila toh AAG laga diye. #tripleTalaq #haryanaBurning					Mixed	
tumne 60 saal tak kya ukhaad lia pehle khud ko dekho bad me kisi dusre ko kuch kehna or rhi bat #TripleTalaq ki to suno tumko muslim sirf vote bank hi najar aate h or agr koi muslim aurto ki help krna chahta h to tumko usme b dikkat hori h #ShameOnYou			Mixed			
#TripleTalaq jis triple talaq ko le kar india mai ladai ho rehi hai wo aisa koi islamic order nhi hai jise na manne par iman chala jaye		Mixed				
Are atleast we have guts to support #TripleTalaq. Tum pe Nhi biti hai tabhi paata Nhi pain kya hota hai. Are ek women ho samhjo warna Shame		Mixed				
Bibi @RanaAyyub khud ko liberal samjhti Hai but #TripleTalaq see Muslim women ko faida hogga uske against Hai....waah						Mixed
Bibi @RanaAyyub ke Ghar mein 2 ghanta pani nahi ayye to issue bana deti Hai...but #TripleTalaq se honne wale issues koi issues nahi hai #TripleTalaq						Mixed
"#Congress ke lawyer Diwali pe Patakhe Ban karwate hain, #RamMandir ke against khade hote hain, #TripleTalaq ke favour mein case ladte hain aur kehte hain hum Hinduon ke against nahi hai. Hamare maathe pe ""C"" nahi likha. #Ayodhya #ShauryaDiwas"			Mixed			
Tum logo mein aurto aur aadmion mein inequality kyu hai. #TripleTalaq agar aurat dene lag jaye to fat jaye sab admio ki.		Mixed		Hindi		
#TripleTalaq to band hona chahiye. Jin Muslims ko dikkat hai, leave India. Jo govt kahegi wahi hoga.			Mixed			
Govt ke pas Kashmir ke liye koi soch ya action plan nahi #GauRakshak #kashmir #TripleTalaq ke naam pr gadbad or gumrahi ke siwa koi kam nahi pic.twitter.com/IAqAggDFDy			Mixed			
@TarekFatah saab Mubarak ho! Aap ke efforts ab aahista aahista rang dikhane lage hain. #MuslimWomenDignity #TripleTalaq https://twitter.com/ZeeNews/status/849207427249487873 …	Hindi					
@anjanaomkashyap!!!#TripleTalaq #SpecialReport #AOK!!! Aap ko mam Salute karti hu,aap jesi puri duniya mein koi bhi nehilove u mampic.twitter.com/edonsxfxJ4	Mixed					
Jo log apne Maa aur apne Biwi ke nahy hosake, aise log #TripleTalaq pe opinion derahe hai. Pehle apni aurton ko toh sambhal lo.. Na Mardon					Mixed	
alag hoi,but through court,naaki whatsapp krke,chitthi bhej ke, teen talaq bol ke, gharelu hinsa se bura hai #TripleTalaq		Hindi				
Agarwal ji hamara kahna hai ki Britain burka ban ki bat kar to raha hai. Hum to abhi #tripletalaq me hi uljhe hai.		Hindi				
Sabhi muslims ko desh se bahar nikalo, jo #Rammandir banane nahi de rha. Or #TripleTalaq ko support krta he.			Hindi			
LIFE BANANE ME 20 SE 25 SAAL NIKAL JATE HE or kisi ko haq nahi he ki wo sirf 3 word me kisi ki life barbaad kare... #Tripletalaq			Mixed			
Kamal ki baat j Jo log #TripleTalaq ke against maulavis k against awaz nhi uthate wo loudspeaker per azan k liye bhasan de rhe h					Mixed	
Arre yaar sati pratha b band ki gyi na .. kuch to galat laga hoga us time to phr #TripleTalaq kyun nahi?? Isko hindu muslim me mat bandho https://twitter.com/DubeyNitin3/status/854690106875158529 …		Mixed				
